subj,item1,item2,edge,
FRUTTA,susina,uva,0,
FRUTTA,lampone,susina,0,
FRUTTA,lampone,mango,0,
FRUTTA,lampone,papaya,0,
FRUTTA,lampone,mela,0,
FRUTTA,lampone,pesca,0,
FRUTTA,lampone,mandarino,0,
FRUTTA,lampone,platano,0,
FRUTTA,lampone,prugna,0,
FRUTTA,lampone,lime,0,
FRUTTA,lampone,limone,0,
FRUTTA,lampone,pompelmo,0,
FRUTTA,lampone,pera,0,
FRUTTA,lampone,melograno,1,
FRUTTA,lampone,uva,0,
FRUTTA,mango,susina,0,
FRUTTA,mango,papaya,0,
FRUTTA,mango,mela,0,
FRUTTA,mango,pesca,0,
FRUTTA,mango,platano,0,
FRUTTA,mango,prugna,0,
FRUTTA,mango,pompelmo,0,
FRUTTA,mango,pera,0,
FRUTTA,mango,melograno,0,
FRUTTA,mango,uva,0,
FRUTTA,papaya,susina,0,
FRUTTA,papaya,pesca,0,
FRUTTA,papaya,platano,0,
FRUTTA,papaya,prugna,0,
FRUTTA,papaya,pompelmo,0,
FRUTTA,papaya,pera,0,
FRUTTA,papaya,uva,0,
FRUTTA,avocado,susina,0,
FRUTTA,avocado,lampone,0,
FRUTTA,avocado,mango,0,
FRUTTA,avocado,papaya,0,
FRUTTA,avocado,mela,0,
FRUTTA,avocado,pesca,0,
FRUTTA,avocado,mandarino,0,
FRUTTA,avocado,platano,0,
FRUTTA,avocado,prugna,0,
FRUTTA,avocado,cachi,0,
FRUTTA,avocado,lime,0,
FRUTTA,avocado,banana,0,
FRUTTA,avocado,guaranà,0,
FRUTTA,avocado,limone,0,
FRUTTA,avocado,pompelmo,0,
FRUTTA,avocado,pera,0,
FRUTTA,avocado,melograno,0,
FRUTTA,avocado,uva,0,
FRUTTA,avocado,cocco,0,
FRUTTA,avocado,ciliegia,0,
FRUTTA,avocado,fico,0,
FRUTTA,avocado,fragola,0,
FRUTTA,avocado,kiwi,0,
FRUTTA,mela,susina,0,
FRUTTA,mela,papaya,0,
FRUTTA,mela,pesca,0,
FRUTTA,mela,platano,0,
FRUTTA,mela,prugna,1,
FRUTTA,mela,pompelmo,0,
FRUTTA,mela,pera,1,
FRUTTA,mela,melograno,0,
FRUTTA,mela,uva,0,
FRUTTA,pesca,susina,0,
FRUTTA,pesca,platano,0,
FRUTTA,pesca,prugna,0,
FRUTTA,pesca,pompelmo,0,
FRUTTA,pesca,uva,0,
FRUTTA,mandarino,susina,0,
FRUTTA,mandarino,mango,0,
FRUTTA,mandarino,papaya,0,
FRUTTA,mandarino,mela,0,
FRUTTA,mandarino,pesca,1,
FRUTTA,mandarino,platano,0,
FRUTTA,mandarino,prugna,0,
FRUTTA,mandarino,pompelmo,0,
FRUTTA,mandarino,pera,0,
FRUTTA,mandarino,melograno,0,
FRUTTA,mandarino,uva,0,
FRUTTA,platano,susina,0,
FRUTTA,platano,prugna,0,
FRUTTA,platano,pompelmo,0,
FRUTTA,platano,uva,0,
FRUTTA,prugna,susina,0,
FRUTTA,prugna,uva,0,
FRUTTA,cachi,susina,0,
FRUTTA,cachi,lampone,0,
FRUTTA,cachi,mango,0,
FRUTTA,cachi,papaya,0,
FRUTTA,cachi,mela,0,
FRUTTA,cachi,pesca,0,
FRUTTA,cachi,mandarino,0,
FRUTTA,cachi,platano,1,
FRUTTA,cachi,prugna,0,
FRUTTA,cachi,lime,0,
FRUTTA,cachi,guaranà,0,
FRUTTA,cachi,limone,0,
FRUTTA,cachi,pompelmo,0,
FRUTTA,cachi,pera,0,
FRUTTA,cachi,melograno,0,
FRUTTA,cachi,uva,0,
FRUTTA,cachi,cocco,0,
FRUTTA,cachi,ciliegia,0,
FRUTTA,cachi,fico,0,
FRUTTA,cachi,fragola,0,
FRUTTA,cachi,kiwi,0,
FRUTTA,arancia,susina,0,
FRUTTA,arancia,lampone,0,
FRUTTA,arancia,mango,0,
