subj,item1,item2,edge,
FRUTTA,avocado,dattero,0,
FRUTTA,avocado,cachi,0,
FRUTTA,avocado,cocco,1,
FRUTTA,avocado,pera,0,
FRUTTA,avocado,kiwi,0,
FRUTTA,avocado,lime,0,
FRUTTA,avocado,bergamotto,0,
FRUTTA,avocado,banana,0,
FRUTTA,avocado,mandarino,0,
FRUTTA,avocado,limone,0,
FRUTTA,avocado,prugna,0,
FRUTTA,avocado,lampone,0,
FRUTTA,avocado,melograno,0,
FRUTTA,avocado,papaya,0,
FRUTTA,avocado,mirtillo,0,
FRUTTA,avocado,uva,0,
FRUTTA,avocado,mango,0,
FRUTTA,avocado,fruttodellapassione,0,
FRUTTA,avocado,cedro,0,
FRUTTA,avocado,pesca,0,
FRUTTA,avocado,mora,0,
FRUTTA,avocado,nespola,0,
FRUTTA,avocado,mangostano,0,
FRUTTA,avocado,pompelmo,0,
FRUTTA,avocado,mela,0,
FRUTTA,avocado,ciliegia,0,
FRUTTA,avocado,fragola,0,
FRUTTA,dattero,pera,0,
FRUTTA,dattero,kiwi,0,
FRUTTA,dattero,lime,0,
FRUTTA,dattero,mandarino,0,
FRUTTA,dattero,limone,0,
FRUTTA,dattero,prugna,0,
FRUTTA,dattero,lampone,0,
FRUTTA,dattero,melograno,0,
FRUTTA,dattero,papaya,0,
FRUTTA,dattero,mirtillo,0,
FRUTTA,dattero,uva,0,
FRUTTA,dattero,mango,0,
FRUTTA,dattero,fruttodellapassione,0,
FRUTTA,dattero,pesca,0,
FRUTTA,dattero,mora,0,
FRUTTA,dattero,nespola,0,
FRUTTA,dattero,mangostano,0,
FRUTTA,dattero,pompelmo,0,
FRUTTA,dattero,mela,0,
FRUTTA,dattero,fragola,0,
FRUTTA,cachi,dattero,0,
FRUTTA,cachi,cocco,0,
FRUTTA,cachi,pera,0,
FRUTTA,cachi,kiwi,0,
FRUTTA,cachi,lime,0,
FRUTTA,cachi,mandarino,0,
FRUTTA,cachi,limone,0,
FRUTTA,cachi,prugna,0,
FRUTTA,cachi,lampone,0,
FRUTTA,cachi,melograno,0,
FRUTTA,cachi,papaya,0,
FRUTTA,cachi,mirtillo,0,
FRUTTA,cachi,uva,0,
FRUTTA,cachi,mango,0,
FRUTTA,cachi,fruttodellapassione,0,
FRUTTA,cachi,cedro,0,
FRUTTA,cachi,pesca,0,
FRUTTA,cachi,mora,0,
FRUTTA,cachi,nespola,0,
FRUTTA,cachi,mangostano,0,
FRUTTA,cachi,pompelmo,0,
FRUTTA,cachi,mela,0,
FRUTTA,cachi,ciliegia,0,
FRUTTA,cachi,fragola,0,
FRUTTA,cocco,dattero,0,
FRUTTA,cocco,pera,0,
FRUTTA,cocco,kiwi,0,
FRUTTA,cocco,lime,0,
FRUTTA,cocco,mandarino,0,
FRUTTA,cocco,limone,0,
FRUTTA,cocco,prugna,0,
FRUTTA,cocco,lampone,0,
FRUTTA,cocco,melograno,0,
FRUTTA,cocco,papaya,0,
FRUTTA,cocco,mirtillo,0,
FRUTTA,cocco,uva,0,
FRUTTA,cocco,mango,0,
FRUTTA,cocco,fruttodellapassione,0,
FRUTTA,cocco,pesca,0,
FRUTTA,cocco,mora,0,
FRUTTA,cocco,nespola,0,
FRUTTA,cocco,mangostano,0,
FRUTTA,cocco,pompelmo,0,
FRUTTA,cocco,mela,0,
FRUTTA,cocco,fragola,0,
FRUTTA,pera,prugna,0,
FRUTTA,pera,uva,0,
FRUTTA,pera,pesca,0,
FRUTTA,pera,pompelmo,0,
FRUTTA,kiwi,pera,0,
FRUTTA,kiwi,lime,0,
FRUTTA,kiwi,mandarino,0,
FRUTTA,kiwi,limone,0,
FRUTTA,kiwi,prugna,0,
FRUTTA,kiwi,lampone,0,
FRUTTA,kiwi,melograno,0,
FRUTTA,kiwi,papaya,0,
FRUTTA,kiwi,mirtillo,0,
FRUTTA,kiwi,uva,0,
FRUTTA,kiwi,mango,0,
FRUTTA,kiwi,pesca,0,
FRUTTA,kiwi,mora,0,
FRUTTA,kiwi,nespola,0,
FRUTTA,kiwi,mangostano,0,
FRUTTA,kiwi,pompelmo,0,
FRUTTA,kiwi,mela,0,
FRUTTA,lime,pera,0,
FRUTTA,lime,mandarino,0,
FRUTTA,lime,limone,0,
FRUTTA,lime,prugna,0,
FRUTTA,lime,melograno,0,
FRUTTA,lime,papaya,0,
FRUTTA,lime,mirtillo,0,
FRUTTA,lime,uva,0,
FRUTTA,lime,mango,0,
FRUTTA,lime,pesca,0,
FRUTTA,lime,mora,0,
FRUTTA,lime,nespola,0,
FRUTTA,lime,mangostano,0,
FRUTTA,lime,pompelmo,0,
FRUTTA,lime,mela,0,
FRUTTA,bergamotto,dattero,0,
FRUTTA,bergamotto,cachi,0,
FRUTTA,bergamotto,cocco,0,
FRUTTA,bergamotto,pera,0,
FRUTTA,bergamotto,kiwi,0,
