subj,item1,item2,edge,
VERDURA,cicoria,indivia,0,
VERDURA,cicoria,zucca,0,
VERDURA,cicoria,melanzana,1,
VERDURA,cicoria,radicchio,1,
VERDURA,cicoria,zucchina,0,
VERDURA,cicoria,rapa,0,
VERDURA,cicoria,finocchio,1,
VERDURA,cicoria,cimedirapa,0,
VERDURA,cicoria,verza,1,
VERDURA,cicoria,peperone,0,
VERDURA,cicoria,lattuga,0,
VERDURA,cicoria,cipolla,1,
VERDURA,cicoria,sedano,1,
VERDURA,cicoria,rucola,0,
VERDURA,cicoria,scarola,1,
VERDURA,cicoria,rosmarino,1,
VERDURA,cicoria,fava,1,
VERDURA,cicoria,patata,0,
VERDURA,cicoria,pomodorociliegino,0,
VERDURA,cicoria,pomodoro,0,
VERDURA,cicoria,ravanello,0,
VERDURA,cicoria,menta,0,
VERDURA,cicoria,cipollotto,0,
VERDURA,cicoria,timo,0,
VERDURA,indivia,zucca,0,
VERDURA,indivia,melanzana,0,
VERDURA,indivia,radicchio,1,
VERDURA,indivia,zucchina,0,
VERDURA,indivia,rapa,0,
VERDURA,indivia,verza,0,
VERDURA,indivia,peperone,0,
VERDURA,indivia,lattuga,0,
VERDURA,indivia,sedano,0,
VERDURA,indivia,rucola,0,
VERDURA,indivia,scarola,0,
VERDURA,indivia,rosmarino,0,
VERDURA,indivia,patata,0,
VERDURA,indivia,pomodorociliegino,0,
VERDURA,indivia,pomodoro,1,
VERDURA,indivia,ravanello,0,
VERDURA,indivia,menta,0,
VERDURA,indivia,timo,0,
VERDURA,zucca,zucchina,1,
VERDURA,melanzana,zucca,0,
VERDURA,melanzana,radicchio,0,
VERDURA,melanzana,zucchina,1,
VERDURA,melanzana,rapa,0,
VERDURA,melanzana,verza,0,
VERDURA,melanzana,peperone,1,
VERDURA,melanzana,sedano,0,
VERDURA,melanzana,rucola,0,
VERDURA,melanzana,scarola,0,
VERDURA,melanzana,rosmarino,0,
VERDURA,melanzana,patata,0,
VERDURA,melanzana,pomodorociliegino,0,
VERDURA,melanzana,pomodoro,1,
VERDURA,melanzana,ravanello,0,
VERDURA,melanzana,menta,0,
VERDURA,melanzana,timo,0,
VERDURA,bietola,cicoria,0,
VERDURA,bietola,indivia,0,
VERDURA,bietola,zucca,0,
VERDURA,bietola,melanzana,1,
VERDURA,bietola,radicchio,1,
VERDURA,bietola,zucchina,0,
VERDURA,bietola,cavolocappuccio,0,
VERDURA,bietola,rapa,0,
VERDURA,bietola,finocchio,0,
VERDURA,bietola,cimedirapa,0,
VERDURA,bietola,carciofo,0,
VERDURA,bietola,cavolettidibruxelles,0,
VERDURA,bietola,verza,1,
VERDURA,bietola,peperone,0,
VERDURA,bietola,lattuga,0,
VERDURA,bietola,cipolla,0,
VERDURA,bietola,sedano,0,
VERDURA,bietola,rucola,0,
VERDURA,bietola,cavolonero,0,
VERDURA,bietola,scarola,0,
VERDURA,bietola,cavolfioreverde,0,
VERDURA,bietola,cavolo,0,
VERDURA,bietola,rosmarino,0,
VERDURA,bietola,cavolfiore,0,
VERDURA,bietola,fava,0,
VERDURA,bietola,carota,0,
VERDURA,bietola,patata,0,
VERDURA,bietola,pomodorociliegino,0,
VERDURA,bietola,pomodoro,0,
VERDURA,bietola,cetriolo,0,
VERDURA,bietola,ravanello,0,
VERDURA,bietola,menta,0,
VERDURA,bietola,cipollotto,0,
VERDURA,bietola,timo,0,
VERDURA,bietola,broccolo,0,
VERDURA,radicchio,zucca,1,
VERDURA,radicchio,zucchina,0,
VERDURA,radicchio,rapa,1,
VERDURA,radicchio,verza,1,
VERDURA,radicchio,sedano,0,
VERDURA,radicchio,rucola,0,
VERDURA,radicchio,scarola,1,
VERDURA,radicchio,rosmarino,0,
VERDURA,radicchio,ravanello,0,
VERDURA,radicchio,timo,1,
VERDURA,cavolocappuccio,cicoria,1,
VERDURA,cavolocappuccio,indivia,0,
VERDURA,cavolocappuccio,zucca,0,
VERDURA,cavolocappuccio,melanzana,0,
VERDURA,cavolocappuccio,radicchio,0,
VERDURA,cavolocappuccio,zucchina,0,
VERDURA,cavolocappuccio,rapa,0,
VERDURA,cavolocappuccio,finocchio,0,
VERDURA,cavolocappuccio,cimedirapa,0,
VERDURA,cavolocappuccio,verza,1,
VERDURA,cavolocappuccio,peperone,0,
VERDURA,cavolocappuccio,lattuga,0,
VERDURA,cavolocappuccio,cipolla,0,
VERDURA,cavolocappuccio,sedano,0,
VERDURA,cavolocappuccio,rucola,0,
VERDURA,cavolocappuccio,cavolonero,1,
VERDURA,cavolocappuccio,scarola,0,
VERDURA,cavolocappuccio,rosmarino,0,
VERDURA,cavolocappuccio,fava,0,
VERDURA,cavolocappuccio,patata,0,
VERDURA,cavolocappuccio,pomodorociliegino,0,
VERDURA,cavolocappuccio,pomodoro,0,
VERDURA,cavolocappuccio,cetriolo,0,
VERDURA,cavolocappuccio,ravanello,0,
VERDURA,cavolocappuccio,menta,0,
VERDURA,cavolocappuccio,cipollotto,0,
VERDURA,cavolocappuccio,timo,0,
VERDURA,rapa,zucca,0,
VERDURA,rapa,zucchina,0,
VERDURA,rapa,verza,0,
VERDURA,rapa,sedano,0,
VERDURA,rapa,rucola,1,
VERDURA,rapa,scarola,0,
VERDURA,rapa,rosmarino,0,
VERDURA,rapa,ravanello,0,
VERDURA,rapa,timo,0,
VERDURA,finocchio,indivia,0,
VERDURA,finocchio,zucca,0,
VERDURA,finocchio,melanzana,0,
VERDURA,finocchio,radicchio,1,
VERDURA,finocchio,zucchina,0,
VERDURA,finocchio,rapa,0,
VERDURA,finocchio,verza,0,
VERDURA,finocchio,peperone,0,
VERDURA,finocchio,lattuga,0,
VERDURA,finocchio,sedano,1,
VERDURA,finocchio,rucola,0,
VERDURA,finocchio,scarola,0,
VERDURA,finocchio,rosmarino,0,
VERDURA,finocchio,patata,0,
VERDURA,finocchio,pomodorociliegino,0,
VERDURA,finocchio,pomodoro,1,
VERDURA,finocchio,ravanello,0,
VERDURA,finocchio,menta,0,
VERDURA,finocchio,timo,0,
VERDURA,cimedirapa,indivia,0,
VERDURA,cimedirapa,zucca,0,
VERDURA,cimedirapa,melanzana,0,
VERDURA,cimedirapa,radicchio,0,
VERDURA,cimedirapa,zucchina,0,
VERDURA,cimedirapa,rapa,0,
VERDURA,cimedirapa,finocchio,0,
VERDURA,cimedirapa,verza,0,
VERDURA,cimedirapa,peperone,0,
VERDURA,cimedirapa,lattuga,0,
VERDURA,cimedirapa,cipolla,1,
VERDURA,cimedirapa,sedano,0,
VERDURA,cimedirapa,rucola,0,
VERDURA,cimedirapa,scarola,0,
VERDURA,cimedirapa,rosmarino,0,
VERDURA,cimedirapa,fava,0,
VERDURA,cimedirapa,patata,0,
VERDURA,cimedirapa,pomodorociliegino,0,
VERDURA,cimedirapa,pomodoro,0,
VERDURA,cimedirapa,ravanello,0,
VERDURA,cimedirapa,menta,0,
VERDURA,cimedirapa,cipollotto,0,
