subj,item1,item2,edge,
FRUTTA,pera,susina,0,
FRUTTA,pera,uva,0,
FRUTTA,pera,prugna,0,
FRUTTA,pera,pesca,0,
FRUTTA,ciliegia,pera,0,
FRUTTA,ciliegia,fragola,1,
FRUTTA,ciliegia,mora,0,
FRUTTA,ciliegia,fico,0,
FRUTTA,ciliegia,susina,0,
FRUTTA,ciliegia,lampone,0,
FRUTTA,ciliegia,mela,0,
FRUTTA,ciliegia,mandarino,0,
FRUTTA,ciliegia,limone,0,
FRUTTA,ciliegia,uva,0,
FRUTTA,ciliegia,prugna,0,
FRUTTA,ciliegia,cocco,0,
FRUTTA,ciliegia,pesca,0,
FRUTTA,ciliegia,papaya,0,
FRUTTA,ciliegia,kiwi,0,
FRUTTA,ciliegia,nespola,0,
FRUTTA,ciliegia,mango,0,
FRUTTA,fragola,pera,0,
FRUTTA,fragola,mora,1,
FRUTTA,fragola,susina,1,
FRUTTA,fragola,lampone,0,
FRUTTA,fragola,mela,1,
FRUTTA,fragola,mandarino,0,
FRUTTA,fragola,limone,0,
FRUTTA,fragola,uva,0,
FRUTTA,fragola,prugna,0,
FRUTTA,fragola,pesca,0,
FRUTTA,fragola,papaya,0,
FRUTTA,fragola,kiwi,0,
FRUTTA,fragola,nespola,0,
FRUTTA,fragola,mango,0,
FRUTTA,mora,pera,0,
FRUTTA,mora,susina,0,
FRUTTA,mora,uva,0,
FRUTTA,mora,prugna,0,
FRUTTA,mora,pesca,0,
FRUTTA,mora,papaya,0,
FRUTTA,mora,nespola,0,
FRUTTA,fico,pera,0,
FRUTTA,fico,fragola,0,
FRUTTA,fico,mora,0,
FRUTTA,fico,susina,0,
FRUTTA,fico,lampone,0,
FRUTTA,fico,mela,0,
FRUTTA,fico,mandarino,0,
FRUTTA,fico,limone,0,
FRUTTA,fico,uva,1,
FRUTTA,fico,prugna,0,
FRUTTA,fico,pesca,1,
FRUTTA,fico,papaya,0,
FRUTTA,fico,kiwi,0,
FRUTTA,fico,nespola,0,
FRUTTA,fico,mango,0,
FRUTTA,arancia,pera,0,
FRUTTA,arancia,ciliegia,0,
FRUTTA,arancia,fragola,0,
FRUTTA,arancia,mora,0,
FRUTTA,arancia,fico,0,
FRUTTA,arancia,susina,0,
FRUTTA,arancia,lampone,0,
FRUTTA,arancia,mela,0,
FRUTTA,arancia,avocado,0,
FRUTTA,arancia,mandarino,0,
FRUTTA,arancia,limone,0,
FRUTTA,arancia,uva,0,
FRUTTA,arancia,banana,0,
FRUTTA,arancia,prugna,0,
FRUTTA,arancia,cachi,0,
FRUTTA,arancia,cocco,0,
FRUTTA,arancia,pesca,0,
FRUTTA,arancia,papaya,0,
FRUTTA,arancia,kiwi,0,
FRUTTA,arancia,nespola,0,
FRUTTA,arancia,mango,1,
FRUTTA,susina,uva,0,
FRUTTA,lampone,pera,0,
FRUTTA,lampone,mora,0,
FRUTTA,lampone,susina,0,
FRUTTA,lampone,mela,0,
FRUTTA,lampone,mandarino,0,
FRUTTA,lampone,limone,1,
FRUTTA,lampone,uva,0,
FRUTTA,lampone,prugna,0,
FRUTTA,lampone,pesca,0,
FRUTTA,lampone,papaya,0,
FRUTTA,lampone,nespola,1,
FRUTTA,lampone,mango,0,
FRUTTA,mela,pera,1,
FRUTTA,mela,mora,0,
FRUTTA,mela,susina,0,
FRUTTA,mela,uva,0,
FRUTTA,mela,prugna,0,
FRUTTA,mela,pesca,1,
FRUTTA,mela,papaya,0,
FRUTTA,mela,nespola,0,
FRUTTA,avocado,pera,0,
FRUTTA,avocado,ciliegia,0,
FRUTTA,avocado,fragola,0,
FRUTTA,avocado,mora,1,
FRUTTA,avocado,fico,0,
FRUTTA,avocado,susina,0,
FRUTTA,avocado,lampone,0,
FRUTTA,avocado,mela,0,
FRUTTA,avocado,mandarino,0,
FRUTTA,avocado,limone,0,
FRUTTA,avocado,uva,0,
FRUTTA,avocado,banana,0,
FRUTTA,avocado,prugna,0,
FRUTTA,avocado,cachi,0,
FRUTTA,avocado,cocco,0,
FRUTTA,avocado,pesca,0,
FRUTTA,avocado,papaya,0,
FRUTTA,avocado,kiwi,0,
FRUTTA,avocado,nespola,1,
FRUTTA,avocado,mango,0,
FRUTTA,mandarino,pera,0,
FRUTTA,mandarino,mora,0,
FRUTTA,mandarino,susina,0,
FRUTTA,mandarino,mela,0,
FRUTTA,mandarino,uva,1,
FRUTTA,mandarino,prugna,0,
FRUTTA,mandarino,pesca,0,
FRUTTA,mandarino,papaya,0,
FRUTTA,mandarino,nespola,0,
FRUTTA,mandarino,mango,0,
FRUTTA,limone,pera,0,
