subj,item1,item2,edge,
FRUTTA,mela,pera,1,
FRUTTA,mela,melograno,0,
FRUTTA,mela,mora,0,
FRUTTA,mela,prugna,0,
FRUTTA,mela,mirtillo,0,
FRUTTA,mela,nespola,0,
FRUTTA,mela,uva,0,
FRUTTA,mela,pesca,0,
FRUTTA,mela,papaya,0,
FRUTTA,mela,pompelmo,0,
FRUTTA,mela,melacotogna,0,
FRUTTA,mela,susina,0,
FRUTTA,limone,mela,0,
FRUTTA,limone,pera,0,
FRUTTA,limone,melograno,0,
FRUTTA,limone,mandarino,0,
FRUTTA,limone,maracuja,0,
FRUTTA,limone,mora,0,
FRUTTA,limone,prugna,0,
FRUTTA,limone,mirtillo,0,
FRUTTA,limone,nespola,0,
FRUTTA,limone,uva,0,
FRUTTA,limone,pesca,0,
FRUTTA,limone,papaya,0,
FRUTTA,limone,mango,0,
FRUTTA,limone,pompelmo,0,
FRUTTA,limone,melacotogna,0,
FRUTTA,limone,susina,0,
FRUTTA,cedro,mela,0,
FRUTTA,cedro,limone,0,
FRUTTA,cedro,pera,0,
FRUTTA,cedro,fragola,0,
FRUTTA,cedro,melograno,0,
FRUTTA,cedro,lime,0,
FRUTTA,cedro,kiwi,0,
FRUTTA,cedro,fico,0,
FRUTTA,cedro,corbezzolo,0,
FRUTTA,cedro,dattero,0,
FRUTTA,cedro,mandarino,0,
FRUTTA,cedro,ciliegia,0,
FRUTTA,cedro,maracuja,0,
FRUTTA,cedro,mora,0,
FRUTTA,cedro,prugna,0,
FRUTTA,cedro,mirtillo,0,
FRUTTA,cedro,cocco,0,
FRUTTA,cedro,nespola,0,
FRUTTA,cedro,uva,0,
FRUTTA,cedro,ficodindia,0,
FRUTTA,cedro,pesca,0,
FRUTTA,cedro,papaya,0,
FRUTTA,cedro,mango,0,
FRUTTA,cedro,pompelmo,0,
FRUTTA,cedro,melacotogna,0,
FRUTTA,cedro,susina,0,
FRUTTA,cedro,lampone,0,
FRUTTA,cedro,fruttodellapassione,0,
FRUTTA,albicocca,mela,0,
FRUTTA,albicocca,limone,0,
FRUTTA,albicocca,cedro,0,
FRUTTA,albicocca,pera,0,
FRUTTA,albicocca,fragola,0,
FRUTTA,albicocca,melograno,0,
FRUTTA,albicocca,lime,0,
FRUTTA,albicocca,kiwi,0,
FRUTTA,albicocca,fico,0,
FRUTTA,albicocca,corbezzolo,0,
FRUTTA,albicocca,dattero,0,
FRUTTA,albicocca,mandarino,0,
FRUTTA,albicocca,ciliegia,0,
FRUTTA,albicocca,maracuja,0,
FRUTTA,albicocca,mora,0,
FRUTTA,albicocca,prugna,0,
FRUTTA,albicocca,avocado,0,
FRUTTA,albicocca,mirtillo,0,
FRUTTA,albicocca,cocco,0,
FRUTTA,albicocca,nespola,0,
FRUTTA,albicocca,uva,0,
FRUTTA,albicocca,ficodindia,0,
FRUTTA,albicocca,pesca,1,
FRUTTA,albicocca,papaya,0,
FRUTTA,albicocca,mango,0,
FRUTTA,albicocca,pompelmo,0,
FRUTTA,albicocca,melacotogna,0,
FRUTTA,albicocca,susina,0,
FRUTTA,albicocca,arancia,0,
FRUTTA,albicocca,banana,0,
FRUTTA,albicocca,cachi,0,
FRUTTA,albicocca,lampone,0,
FRUTTA,albicocca,fruttodellapassione,0,
FRUTTA,pera,prugna,0,
FRUTTA,pera,uva,0,
FRUTTA,pera,pesca,0,
FRUTTA,pera,pompelmo,0,
FRUTTA,pera,susina,0,
FRUTTA,fragola,mela,0,
FRUTTA,fragola,limone,0,
FRUTTA,fragola,pera,0,
FRUTTA,fragola,melograno,0,
FRUTTA,fragola,lime,0,
FRUTTA,fragola,kiwi,0,
FRUTTA,fragola,mandarino,0,
FRUTTA,fragola,maracuja,0,
FRUTTA,fragola,mora,0,
FRUTTA,fragola,prugna,0,
FRUTTA,fragola,mirtillo,0,
FRUTTA,fragola,nespola,0,
FRUTTA,fragola,uva,0,
FRUTTA,fragola,pesca,0,
FRUTTA,fragola,papaya,0,
FRUTTA,fragola,mango,0,
FRUTTA,fragola,pompelmo,0,
FRUTTA,fragola,melacotogna,0,
FRUTTA,fragola,susina,0,
