subj,item1,item2,edge,
VERDURA,sedanorapa,topinambur,0,
VERDURA,sedanorapa,timo,0,
VERDURA,sedanorapa,zucchina,0,
VERDURA,sedanorapa,zucca,0,
VERDURA,sedanorapa,verza,0,
VERDURA,sedanorapa,spinacio,0,
VERDURA,cavolfiore,sedanorapa,0,
VERDURA,cavolfiore,rucola,0,
VERDURA,cavolfiore,cicoria,1,
VERDURA,cavolfiore,cavoloriccio,0,
VERDURA,cavolfiore,radicchio,1,
VERDURA,cavolfiore,cipollarossa,0,
VERDURA,cavolfiore,peperone,0,
VERDURA,cavolfiore,cipollabianca,0,
VERDURA,cavolfiore,cipollotto,0,
VERDURA,cavolfiore,ravanello,0,
VERDURA,cavolfiore,cetriolo,0,
VERDURA,cavolfiore,cavolocappuccio,1,
VERDURA,cavolfiore,topinambur,0,
VERDURA,cavolfiore,cavolorapa,0,
VERDURA,cavolfiore,fava,0,
VERDURA,cavolfiore,menta,0,
VERDURA,cavolfiore,pomodorociliegino,0,
VERDURA,cavolfiore,cavolo,1,
VERDURA,cavolfiore,sedano,1,
VERDURA,cavolfiore,timo,0,
VERDURA,cavolfiore,pisello,0,
VERDURA,cavolfiore,rosmarino,0,
VERDURA,cavolfiore,salvia,0,
VERDURA,cavolfiore,zucchina,0,
VERDURA,cavolfiore,lenticchia,0,
VERDURA,cavolfiore,lattuga,1,
VERDURA,cavolfiore,zucca,0,
VERDURA,cavolfiore,cimedirapa,0,
VERDURA,cavolfiore,scarola,0,
VERDURA,cavolfiore,cavoloverza,0,
VERDURA,cavolfiore,finocchio,1,
VERDURA,cavolfiore,rapa,1,
VERDURA,cavolfiore,cipolla,1,
VERDURA,cavolfiore,peperonegiallo,0,
VERDURA,cavolfiore,pomodoro,1,
VERDURA,cavolfiore,verza,1,
VERDURA,cavolfiore,patatarossa,0,
VERDURA,cavolfiore,porro,0,
VERDURA,cavolfiore,scalogno,0,
VERDURA,cavolfiore,edamame,0,
VERDURA,cavolfiore,cavolonero,0,
VERDURA,cavolfiore,spinacio,0,
VERDURA,cavolfiore,patata,0,
VERDURA,cavolfiore,indivia,0,
VERDURA,cavolfiore,erbacipollina,0,
VERDURA,cavolfiore,origano,0,
VERDURA,cavolfiore,cavolfioreverde,0,
VERDURA,cavolfiore,melanzana,0,
VERDURA,rucola,sedanorapa,0,
VERDURA,rucola,topinambur,0,
VERDURA,rucola,sedano,1,
VERDURA,rucola,timo,0,
VERDURA,rucola,salvia,0,
VERDURA,rucola,zucchina,1,
VERDURA,rucola,zucca,0,
VERDURA,rucola,scarola,1,
VERDURA,rucola,verza,1,
VERDURA,rucola,scalogno,0,
VERDURA,rucola,spinacio,0,
VERDURA,cicoria,sedanorapa,1,
VERDURA,cicoria,rucola,0,
VERDURA,cicoria,radicchio,0,
VERDURA,cicoria,cipollarossa,0,
